2017-07-19 21:40:08.0699|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|ABBRUCH in Zeile 551: endedatumNachBeginndatum Endedatum darf nicht vor dem Beginndatum liegen. => CalendarEvent{wochentag=Do., beginnDatum=Thu Dec 13 00:00:00 CET 2018, beginnUhrzeit=19:00, endeDatum=Thu Dec 13 00:00:00 CET 2018, endeUhrzeit=22:00, beschreibung=Hauptprobe Weihnachtsoratorium, ort=Stadtkirche, art=Probe, organistationsUebersicht=null, ensembles=[de.biware.pf.stadtkirche.nusik.calendartools.Jugendkantorei@3d9bf821, de.biware.pf.stadtkirche.nusik.calendartools.Oratorienchor@24c058a9, de.biware.pf.stadtkirche.nusik.calendartools.Bachorchester@103033e2, de.biware.pf.stadtkirche.nusik.calendartools.GrosseKurrendeMaedchen@12829e19, de.biware.pf.stadtkirche.nusik.calendartools.Motettenchor@703a2698, de.biware.pf.stadtkirche.nusik.calendartools.Hebel6@56993d26, de.biware.pf.stadtkirche.nusik.calendartools.Hebel5@47a7ab34, de.biware.pf.stadtkirche.nusik.calendartools.GrosseKurrendeJungen@4153878f], dynamicCols={Jugendkantorei=x, Oratorienchor=x, Bachorchester=x, Große Kurrende Mädchen=x, Motettenchor=x, Hebel AG Stimmbildung Klasse 6=x, Hebel AG Stimmbildung Klasse 5=x, Große Kurrende Jungen=x}}
2017-07-19 21:40:08.0699|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|ABBRUCH in Zeile 552: endedatumNachBeginndatum Endedatum darf nicht vor dem Beginndatum liegen. => CalendarEvent{wochentag=Fr., beginnDatum=Fri Dec 14 00:00:00 CET 2018, beginnUhrzeit=13:30, endeDatum=Fri Dec 14 00:00:00 CET 2018, endeUhrzeit=17:00, beschreibung=Orchesterprobe mit Solisten, ort=Stadtkirche, art=Probe, organistationsUebersicht=null, ensembles=[de.biware.pf.stadtkirche.nusik.calendartools.Bachorchester@7f9306ef], dynamicCols={Bachorchester=x}}
2017-07-19 21:40:08.0699|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 553: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=Fr., beginnDatum=Fri Dec 14 00:00:00 CET 2018, beginnUhrzeit=18:00, endeDatum=Fri Dec 14 00:00:00 CET 2018, endeUhrzeit=18:45, beschreibung=Atempause im Advent, ort=Stadtkirche, art=Konzert, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-07-19 21:40:08.0699|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|ABBRUCH in Zeile 553: endedatumNachBeginndatum Endedatum darf nicht vor dem Beginndatum liegen. => CalendarEvent{wochentag=Fr., beginnDatum=Fri Dec 14 00:00:00 CET 2018, beginnUhrzeit=18:00, endeDatum=Fri Dec 14 00:00:00 CET 2018, endeUhrzeit=18:45, beschreibung=Atempause im Advent, ort=Stadtkirche, art=Konzert, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-07-19 21:40:08.0699|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|ABBRUCH in Zeile 554: endedatumNachBeginndatum Endedatum darf nicht vor dem Beginndatum liegen. => CalendarEvent{wochentag=Fr., beginnDatum=Fri Dec 14 00:00:00 CET 2018, beginnUhrzeit=19:00, endeDatum=Fri Dec 14 00:00:00 CET 2018, endeUhrzeit=22:00, beschreibung=Generalprobe Weihnachtsoratorium, ort=Stadtkirche, art=Probe, organistationsUebersicht=null, ensembles=[de.biware.pf.stadtkirche.nusik.calendartools.Jugendkantorei@5be48a80, de.biware.pf.stadtkirche.nusik.calendartools.Oratorienchor@3ca74b6d, de.biware.pf.stadtkirche.nusik.calendartools.Bachorchester@6eb5637, de.biware.pf.stadtkirche.nusik.calendartools.GrosseKurrendeMaedchen@75dae8f6, de.biware.pf.stadtkirche.nusik.calendartools.Motettenchor@a95cc47, de.biware.pf.stadtkirche.nusik.calendartools.Hebel6@c6f125b, de.biware.pf.stadtkirche.nusik.calendartools.Hebel5@50e9a70f, de.biware.pf.stadtkirche.nusik.calendartools.GrosseKurrendeJungen@725678bc], dynamicCols={Jugendkantorei=x, Oratorienchor=x, Bachorchester=x, Große Kurrende Mädchen=x, Motettenchor=x, Hebel AG Stimmbildung Klasse 6=x, Hebel AG Stimmbildung Klasse 5=x, Große Kurrende Jungen=x}}
2017-07-19 21:40:08.0700|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|ABBRUCH in Zeile 555: endedatumNachBeginndatum Endedatum darf nicht vor dem Beginndatum liegen. => CalendarEvent{wochentag=Sa., beginnDatum=Sat Dec 15 00:00:00 CET 2018, beginnUhrzeit=16:00, endeDatum=Sat Dec 15 00:00:00 CET 2018, endeUhrzeit=17:00, beschreibung=Weihnachtsoratorium für Kinder, ort=Stadtkirche, art=Konzert, organistationsUebersicht=null, ensembles=[de.biware.pf.stadtkirche.nusik.calendartools.Jugendkantorei@228c5814, de.biware.pf.stadtkirche.nusik.calendartools.Oratorienchor@3fc05295, de.biware.pf.stadtkirche.nusik.calendartools.Bachorchester@7e124e49, de.biware.pf.stadtkirche.nusik.calendartools.GrosseKurrendeMaedchen@3403383, de.biware.pf.stadtkirche.nusik.calendartools.Motettenchor@434c9707, de.biware.pf.stadtkirche.nusik.calendartools.Hebel6@7ea52101, de.biware.pf.stadtkirche.nusik.calendartools.Hebel5@12a9489a, de.biware.pf.stadtkirche.nusik.calendartools.GrosseKurrendeJungen@10f7bd67, de.biware.pf.stadtkirche.nusik.calendartools.KleineKurrende@37a4f4d1], dynamicCols={Jugendkantorei=x, Oratorienchor=x, Bachorchester=x, Große Kurrende Mädchen=x, Motettenchor=x, Hebel AG Stimmbildung Klasse 6=x, Hebel AG Stimmbildung Klasse 5=x, Große Kurrende Jungen=x, Kleine Kurrende=x}}
2017-07-19 21:40:08.0700|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|ABBRUCH in Zeile 556: endedatumNachBeginndatum Endedatum darf nicht vor dem Beginndatum liegen. => CalendarEvent{wochentag=Sa., beginnDatum=Sat Dec 15 00:00:00 CET 2018, beginnUhrzeit=19:00, endeDatum=Sat Dec 15 00:00:00 CET 2018, endeUhrzeit=20:30, beschreibung=Bach: Weihnachtsoratorium als Singalong (Teile 4-6), ort=Stadtkirche, art=Konzert, organistationsUebersicht=null, ensembles=[de.biware.pf.stadtkirche.nusik.calendartools.Jugendkantorei@38eb0f04, de.biware.pf.stadtkirche.nusik.calendartools.Oratorienchor@15da91fb, de.biware.pf.stadtkirche.nusik.calendartools.Bachorchester@5c8eded, de.biware.pf.stadtkirche.nusik.calendartools.Motettenchor@16b51d47], dynamicCols={Jugendkantorei=x, Oratorienchor=x, Bachorchester=x, Motettenchor=x}}
2017-07-19 21:40:08.0700|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|ABBRUCH in Zeile 557: endedatumNachBeginndatum Endedatum darf nicht vor dem Beginndatum liegen. => CalendarEvent{wochentag=So., beginnDatum=Sun Dec 16 00:00:00 CET 2018, beginnUhrzeit=16:00, endeDatum=Sun Dec 16 00:00:00 CET 2018, endeUhrzeit=20:00, beschreibung=Bach: Weihnachtsoratorium, ort=Stadtkirche, art=Konzert, organistationsUebersicht=null, ensembles=[de.biware.pf.stadtkirche.nusik.calendartools.Jugendkantorei@37d2b1c0, de.biware.pf.stadtkirche.nusik.calendartools.Oratorienchor@75379552, de.biware.pf.stadtkirche.nusik.calendartools.Bachorchester@4b56e196, de.biware.pf.stadtkirche.nusik.calendartools.GrosseKurrendeMaedchen@84e5025, de.biware.pf.stadtkirche.nusik.calendartools.Motettenchor@2ab0ac5d, de.biware.pf.stadtkirche.nusik.calendartools.Hebel6@63e4315c, de.biware.pf.stadtkirche.nusik.calendartools.Hebel5@1f4226e7, de.biware.pf.stadtkirche.nusik.calendartools.GrosseKurrendeJungen@65779252], dynamicCols={Jugendkantorei=x, Oratorienchor=x, Bachorchester=x, Große Kurrende Mädchen=x, Motettenchor=x, Hebel AG Stimmbildung Klasse 6=x, Hebel AG Stimmbildung Klasse 5=x, Große Kurrende Jungen=x}}
2017-07-19 21:40:08.0700|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 558: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=Fr., beginnDatum=Fri Dec 21 00:00:00 CET 2018, beginnUhrzeit=18:00, endeDatum=Fri Dec 21 00:00:00 CET 2018, endeUhrzeit=18:45, beschreibung=Atempause im Advent, ort=Stadtkirche, art=Konzert, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-07-19 21:40:08.0700|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|ABBRUCH in Zeile 558: endedatumNachBeginndatum Endedatum darf nicht vor dem Beginndatum liegen. => CalendarEvent{wochentag=Fr., beginnDatum=Fri Dec 21 00:00:00 CET 2018, beginnUhrzeit=18:00, endeDatum=Fri Dec 21 00:00:00 CET 2018, endeUhrzeit=18:45, beschreibung=Atempause im Advent, ort=Stadtkirche, art=Konzert, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
